Lần chạy 1...
Decode time: 0.192729 seconds
Decode time: 0.158095 seconds
Decode time: 0.123971 seconds
Decode time: 0.189461 seconds
Decode time: 0.118378 seconds
Decode time: 0.123226 seconds
Decode time: 0.180127 seconds
Decode time: 0.0384214 seconds
Decode time: 0.0812739 seconds
Decode time: 0.0972689 seconds
Decode time: 0.0631823 seconds
Decode time: 0.132179 seconds
Decode time: 0.123414 seconds
Decode time: 0.145724 seconds
Decode time: 0.120789 seconds
Decode time: 0.128953 seconds
Decode time: 0.182367 seconds
Decode time: 0.0417049 seconds
Decode time: 0.0507498 seconds
Decode time: 0.0823369 seconds
Decode time: 0.172329 seconds
Decode time: 0.129069 seconds
Decode time: 0.181425 seconds
Decode time: 0.0405404 seconds
Decode time: 0.0919929 seconds
Decode time: 0.0554911 seconds
Decode time: 0.244728 seconds
Decode time: 0.135602 seconds
Decode time: 0.115731 seconds
Decode time: 0.124422 seconds
Decode time: 0.0402859 seconds
Decode time: 0.0818958 seconds
Decode time: 0.0366771 seconds
Decode time: 0.0917908 seconds
Decode time: 0.0571306 seconds
Decode time: 0.0824787 seconds
Decode time: 0.125675 seconds
Decode time: 0.124308 seconds
Decode time: 0.128145 seconds
Decode time: 0.136789 seconds
Decode time: 0.185246 seconds
Decode time: 0.193595 seconds
Decode time: 0.0982963 seconds
Decode time: 0.0516358 seconds
Decode time: 0.0908145 seconds
Decode time: 0.0436664 seconds
Decode time: 0.0653957 seconds
Decode time: 0.108737 seconds
Decode time: 0.213681 seconds
Decode time: 0.0687164 seconds
Decode time: 0.239477 seconds
Decode time: 0.156611 seconds
Decode time: 0.0625762 seconds
Decode time: 0.0966251 seconds
Decode time: 0.125812 seconds
Decode time: 0.132621 seconds
Decode time: 0.0490162 seconds
Decode time: 0.12014 seconds
Decode time: 0.120785 seconds
Decode time: 0.119452 seconds
Decode time: 0.222194 seconds
Decode time: 0.109097 seconds
Decode time: 0.0627266 seconds
Decode time: 0.157581 seconds
Decode time: 0.148553 seconds
Decode time: 0.0467994 seconds
Decode time: 0.119047 seconds
Decode time: 0.163544 seconds
Decode time: 0.0928538 seconds
Decode time: 0.0476223 seconds
Decode time: 0.0805996 seconds
Decode time: 0.0408223 seconds
Decode time: 0.175112 seconds
Decode time: 0.232921 seconds
Decode time: 0.141904 seconds
Decode time: 0.12757 seconds
Decode time: 0.157394 seconds
Decode time: 0.264625 seconds
Decode time: 0.0508277 seconds
Decode time: 0.0799864 seconds
Decode time: 0.0987751 seconds
Decode time: 0.0544634 seconds
Decode time: 0.0430968 seconds
Decode time: 0.0482141 seconds
Decode time: 0.125128 seconds
Decode time: 0.13076 seconds
Decode time: 0.182539 seconds
Decode time: 0.177579 seconds
Decode time: 0.0481969 seconds
Decode time: 0.0829429 seconds
Decode time: 0.115019 seconds
Decode time: 0.123789 seconds
Decode time: 0.124408 seconds
Decode time: 0.122368 seconds
Decode time: 0.0357973 seconds
Decode time: 0.176707 seconds
Decode time: 0.084848 seconds
Decode time: 0.0461675 seconds
Decode time: 0.120944 seconds
Decode time: 0.161701 seconds
Decode time: 0.135598 seconds
Decode time: 0.124889 seconds
Decode time: 0.177738 seconds
Decode time: 0.0553088 seconds
Decode time: 0.0371898 seconds
Decode time: 0.0389503 seconds
Decode time: 0.221722 seconds
Decode time: 0.134672 seconds
Decode time: 0.0450312 seconds
Decode time: 0.09101 seconds
Decode time: 0.201085 seconds
Decode time: 0.137056 seconds
Decode time: 0.126069 seconds
Decode time: 0.0561896 seconds
Decode time: 0.14313 seconds
Decode time: 0.178406 seconds
Decode time: 0.285141 seconds
Decode time: 0.115506 seconds
Decode time: 0.0509257 seconds
Decode time: 0.0577496 seconds
Decode time: 0.115096 seconds
Decode time: 0.17709 seconds
Decode time: 0.244101 seconds
Decode time: 0.116937 seconds
Decode time: 0.126825 seconds
Decode time: 0.123344 seconds
Decode time: 0.129636 seconds
Decode time: 0.0471787 seconds
Decode time: 0.106674 seconds
Decode time: 0.0542697 seconds
Decode time: 0.120881 seconds
Decode time: 0.215937 seconds
Decode time: 0.14636 seconds
Decode time: 0.0934248 seconds
Decode time: 0.0612297 seconds
Decode time: 0.224008 seconds
Decode time: 0.0836704 seconds
Decode time: 0.052534 seconds
Decode time: 0.140755 seconds
Decode time: 0.160492 seconds
Decode time: 0.0650963 seconds
Decode time: 0.163562 seconds
Decode time: 0.060028 seconds
Decode time: 0.228376 seconds
Decode time: 0.0953476 seconds
Decode time: 0.0440139 seconds
Decode time: 0.197262 seconds
Decode time: 0.130147 seconds
Decode time: 0.141956 seconds
Decode time: 0.124273 seconds
Decode time: 0.11485 seconds
Decode time: 0.129015 seconds
Decode time: 0.0826977 seconds
Decode time: 0.048934 seconds
Decode time: 0.127658 seconds
Decode time: 0.209446 seconds
Decode time: 0.056867 seconds
Decode time: 0.0538262 seconds
Decode time: 0.101024 seconds
Decode time: 0.0601751 seconds
Decode time: 0.0937978 seconds
Decode time: 0.199861 seconds
Decode time: 0.132663 seconds
Decode time: 0.166176 seconds
Decode time: 0.151378 seconds
Decode time: 0.0586457 seconds
Decode time: 0.199158 seconds
Decode time: 0.139402 seconds
Decode time: 0.141859 seconds
Decode time: 0.126085 seconds
Decode time: 0.136999 seconds
Decode time: 0.113969 seconds
Decode time: 0.141472 seconds
Decode time: 0.218265 seconds
Decode time: 0.168953 seconds
Decode time: 0.0521662 seconds
Decode time: 0.0483099 seconds
Decode time: 0.0927613 seconds
Decode time: 0.0967517 seconds
Decode time: 0.0981438 seconds
Decode time: 0.0554102 seconds
Decode time: 0.144561 seconds
Decode time: 0.13688 seconds
Decode time: 0.134473 seconds
Decode time: 0.117326 seconds
Decode time: 0.176178 seconds
Decode time: 0.0466572 seconds
Decode time: 0.0784681 seconds
Decode time: 0.177106 seconds
Decode time: 0.151705 seconds
Decode time: 0.127718 seconds
Decode time: 0.141944 seconds
Decode time: 0.121799 seconds
Decode time: 0.114864 seconds
Decode time: 0.181638 seconds
Decode time: 0.0432393 seconds
Decode time: 0.101203 seconds
Decode time: 0.0452656 seconds
Decode time: 0.209017 seconds
Decode time: 0.23165 seconds
Decode time: 0.171591 seconds
Decode time: 0.0527319 seconds
Decode time: 0.0414915 seconds
Decode time: 0.115578 seconds
Decode time: 0.165538 seconds
Decode time: 0.0993879 seconds
Decode time: 0.0466247 seconds
Decode time: 0.0630739 seconds
Decode time: 0.229683 seconds
Decode time: 0.135857 seconds
Decode time: 0.12223 seconds
Decode time: 0.183791 seconds
Decode time: 0.141645 seconds
Decode time: 0.174821 seconds
Decode time: 0.23117 seconds
Decode time: 0.044551 seconds
Decode time: 0.0832141 seconds
Decode time: 0.048159 seconds
Decode time: 0.0810836 seconds
Decode time: 0.118896 seconds
Decode time: 0.127522 seconds
Decode time: 0.204278 seconds
Decode time: 0.126039 seconds
Decode time: 0.142207 seconds
Decode time: 0.181976 seconds
Decode time: 0.108533 seconds
Decode time: 0.0534955 seconds
Decode time: 0.141325 seconds
Decode time: 0.134302 seconds
Decode time: 0.145689 seconds
Decode time: 0.134054 seconds
Decode time: 0.119214 seconds
Decode time: 0.198755 seconds
Decode time: 0.0641123 seconds
Decode time: 0.0891756 seconds
Decode time: 0.0420759 seconds
Decode time: 0.195829 seconds
Decode time: 0.150463 seconds
Decode time: 0.198965 seconds
Decode time: 0.152152 seconds
Decode time: 0.13494 seconds
Decode time: 0.131788 seconds
Decode time: 0.0853559 seconds
Decode time: 0.0419114 seconds
Decode time: 0.220825 seconds
Decode time: 0.158689 seconds
Decode time: 0.241162 seconds
Decode time: 0.0527189 seconds
Decode time: 0.0511125 seconds
Decode time: 0.104272 seconds
Decode time: 0.0465948 seconds
Decode time: 0.122673 seconds
Decode time: 0.178101 seconds
Decode time: 0.129938 seconds
Decode time: 0.0503039 seconds
Decode time: 0.0922994 seconds
Decode time: 0.047039 seconds
Decode time: 0.0444327 seconds
Decode time: 0.0529555 seconds
Decode time: 0.108637 seconds
Decode time: 0.152277 seconds
Decode time: 0.127601 seconds
Decode time: 0.167623 seconds
Decode time: 0.11062 seconds
Decode time: 0.234661 seconds
Decode time: 0.157404 seconds
Decode time: 0.134027 seconds
Decode time: 0.130565 seconds
Decode time: 0.12517 seconds
Decode time: 0.0534135 seconds
Decode time: 0.0864028 seconds
Decode time: 0.11646 seconds
Decode time: 0.129924 seconds
Decode time: 0.188108 seconds
Decode time: 0.121677 seconds
Decode time: 0.125991 seconds
Decode time: 0.124932 seconds
Decode time: 0.114134 seconds
Decode time: 0.0531424 seconds
Decode time: 0.053668 seconds
Decode time: 0.191596 seconds
Decode time: 0.22497 seconds
Decode time: 0.127774 seconds
Decode time: 0.114305 seconds
Decode time: 0.0533921 seconds
Decode time: 0.0838496 seconds
Decode time: 0.0419748 seconds
Decode time: 0.130919 seconds
Decode time: 0.115215 seconds
Decode time: 0.152958 seconds
Decode time: 0.127434 seconds
Decode time: 0.0998151 seconds
Decode time: 0.0540705 seconds
Decode time: 0.104357 seconds
Decode time: 0.0535318 seconds
Decode time: 0.127817 seconds
Decode time: 0.132341 seconds
Decode time: 0.126744 seconds
Decode time: 0.146059 seconds
Decode time: 0.103766 seconds
Decode time: 0.0472342 seconds
Decode time: 0.213089 seconds
Decode time: 0.104655 seconds
Decode time: 0.0540714 seconds
Decode time: 0.225788 seconds
Decode time: 0.138751 seconds
Decode time: 0.105755 seconds
Decode time: 0.0510086 seconds
Decode time: 0.0527711 seconds
Decode time: 0.12552 seconds
Decode time: 0.149215 seconds
Decode time: 0.144281 seconds
Decode time: 0.242048 seconds
Decode time: 0.0931155 seconds
Decode time: 0.045878 seconds
Decode time: 0.0475092 seconds
Decode time: 0.189849 seconds
Decode time: 0.13985 seconds
Decode time: 0.119516 seconds
Decode time: 0.123644 seconds
Decode time: 0.1669 seconds
Decode time: 0.229652 seconds
Decode time: 0.0449817 seconds
Decode time: 0.0793917 seconds
Decode time: 0.190398 seconds
Decode time: 0.126409 seconds
Decode time: 0.131381 seconds
Decode time: 0.171765 seconds
Decode time: 0.121581 seconds
Decode time: 0.183419 seconds
Decode time: 0.0902858 seconds
Decode time: 0.0579558 seconds
Decode time: 0.145364 seconds
Decode time: 0.15185 seconds
Decode time: 0.0495249 seconds
Decode time: 0.0372702 seconds
Decode time: 0.0808605 seconds
Decode time: 0.0471251 seconds
Decode time: 0.106694 seconds
Decode time: 0.205862 seconds
Decode time: 0.15896 seconds
Decode time: 0.0497731 seconds
Decode time: 0.104451 seconds
Decode time: 0.0470297 seconds
Decode time: 0.221677 seconds
Decode time: 0.230699 seconds
Decode time: 0.162285 seconds
Decode time: 0.13383 seconds
Decode time: 0.116529 seconds
Decode time: 0.123332 seconds
Decode time: 0.25826 seconds
Decode time: 0.165784 seconds
Decode time: 0.0544105 seconds
Decode time: 0.21689 seconds
Decode time: 0.0912374 seconds
Decode time: 0.0941854 seconds
Decode time: 0.218737 seconds
Decode time: 0.155168 seconds
Decode time: 0.164483 seconds
Decode time: 0.154787 seconds
Decode time: 0.157781 seconds
Decode time: 0.0511518 seconds
Decode time: 0.0658775 seconds
Decode time: 0.104106 seconds
Decode time: 0.0372041 seconds
Decode time: 0.130361 seconds
Decode time: 0.151742 seconds
Decode time: 0.136934 seconds
Decode time: 0.0941825 seconds
Decode time: 0.122588 seconds
Decode time: 0.179226 seconds
Decode time: 0.115526 seconds
Decode time: 0.11343 seconds
Decode time: 0.131011 seconds
Decode time: 0.0843044 seconds
Decode time: 0.186177 seconds
Decode time: 0.0852685 seconds
Decode time: 0.0530976 seconds
Decode time: 0.0925039 seconds
Decode time: 0.155625 seconds
Decode time: 0.208142 seconds
Decode time: 0.0486867 seconds
Decode time: 0.099462 seconds
Decode time: 0.0508175 seconds
Decode time: 0.0571438 seconds
Decode time: 0.242926 seconds
Decode time: 0.155243 seconds
Decode time: 0.126186 seconds
Decode time: 0.0684035 seconds
Decode time: 0.0497796 seconds
Decode time: 0.0884034 seconds
Decode time: 0.148821 seconds
Decode time: 0.23755 seconds
Decode time: 0.164019 seconds
